Date,Adults,Subadults,Calves,Observer
9/15/2023,14,0,3,Ob1
9/15/2023,16,2,3,Ob2
9/15/2023,10,0,0,Ob3
9/15/2023,24,0,0,Ob4
9/15/2023,22,0,3,Ob5
9/15/2023,13,0,0,Ob6
9/15/2023,13,0,0,Ob7
9/15/2023,13,5,3,Ob8
9/15/2023,10,8,3,TX
9/23/2023,0,0,0,AM
9/23/2023,0,0,0,KK
9/23/2023,0,0,0,DJ
9/23/2023,0,0,0,CU
9/23/2023,0,0,0,AN
9/23/2023,0,0,0,MW
9/23/2023,0,0,0,DT
9/23/2023,0,0,0,AG
9/23/2023,0,0,0,BF
9/23/2023,0,0,0,IA
9/23/2023,0,0,0,MT
9/23/2023,0,0,0,RN
9/23/2023,0,0,0,MS
9/23/2023,0,0,0,TX
10/13/2023,3,1,2,AM
10/13/2023,6,0,2,IA
10/13/2023,6,1,3,CU
10/13/2023,4,1,2,DT
10/13/2023,5,1,2,KK
10/13/2023,0,0,2,SX
